#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Virat Kohli @virat.kohli,267.1M,0.02%,India,Sports Cricket Athlete,80.1M
2,Narendra Modi @narendramodi,87.3M,2.23%,India,Politics,26.2M
3,Alia Bhatt ğŸ’› @aliaabhatt,83.7M,0.02%,India,Acting and Drama Celebrity Actors Actor,25.1M
4,Katrina Kaif @katrinakaif,79.7M,0.87%,India,Beauty and Self Care Celebrity Actors Actor,23.9M
5,à¤¦à¥€à¤ªà¤¿à¤•à¤¾ à¤ªà¤¾à¤¦à¥à¤•à¥‹à¤£ @deepikapadukone,78.9M,2.18%,India,Entertainment and Music Actors,23.7M
6,Neha Kakkar @nehakakkar,77.7M,0.77%,India,Entertainment and Music Singer Musician,23.3M
7,Salman Khan @beingsalmankhan,69.2M,1.59%,India,Entertainment and Music Celebrity Actor,20.8M
8,Akshay Kumar @akshaykumar,68.3M,0.02%,India,Entertainment and Music Celebrity Actors Actor,20.5M
9,disha patani (paatni) ğŸ¦‹ @dishapatani,61M,0.61%,India,Celebrity Actors,18.3M
10,Sunny Leone @sunnyleone,55.3M,0.27%,India,Beauty and Self Care Modeling Actors Actor,16.6M
11,Jannat Zubair Rahmani @jannatzubair29,49.3M,0.81%,India,Entertainment and Music Acting and Drama Celebrity Actors,14.8M
12,Sachin Tendulkar @sachintendulkar,47.7M,1.28%,India,Sports Education Cricket,14.3M
13,Hrithik Roshan @hrithikroshan,47.7M,0.53%,India,Entertainment and Music Actors Actor,14.3M
14,Ranveer Singh @ranveersingh,46.8M,1.41%,India,Entertainment and Music Actors Modeling Film,14M
15,M S Dhoni @mahi7781,46.8M,13%,India,Sports Cricket,14M
16,Shah Rukh Khan @iamsrk,46.3M,2.08%,India,Actors,13.9M
17,Kapil Sharma @kapilsharma,45.6M,0.03%,India,Art Singer Music,13.7M
18,@parineetichopra,43.5M,1.63%,India,Beauty and Self Care Actors Computer Company,13M
19,Sara Ali Khan @saraalikhan95,43.5M,1.01%,India,Entertainment and Music Fashion and Accessories Actors Actor,13M
20,Rashmika Mandanna @rashmika_mandanna,42M,3.13%,India,Entertainment and Music,12.6M
21,Anushka Sen @anushkasen0408,39.6M,0.95%,India,Celebrity Actors,11.9M
22,Shahid Kapoor @shahidkapoor,38.1M,1.53%,India,Actors,11.4M
23,Tiger Shroff @tigerjackieshroff,36.8M,1.05%,India,Entertainment and Music Actors Actor,11M
24,Amitabh Bachchan @amitabhbachchan,35.9M,0.59%,India,Entertainment and Music Actors Film TV Host,10.8M
25,Rohit Sharma @rohitsharma45,35.7M,6.1%,India,Sports Modeling Gym Actors,10.7M
26,Sonam Kapoor Ahuja @sonamkapoor,35.3M,0.49%,India,Fashion and Accessories Modeling Lifestyle,10.6M
27,Guru Randhawa @gururandhawa,34.3M,0.48%,India,Entertainment and Music Music Singer,10.3M
28,Madhuri Dixit @madhuridixitnene,33.1M,0.59%,India,Entertainment and Music Celebrity,9.9M
29,Shilpa Shetty Kundra @theshilpashetty,32.2M,0.57%,India,Beauty and Self Care Fashion and Accessories Fitness and Health Business and Finance,9.7M
30,FAISAL SHAIKH @mr_faisu_07,32M,1.39%,India,Entertainment and Music Celebrity Modeling,9.6M
31,Sayyed Arishfa Khan ğŸ’ @arishfakhan138,29.5M,0.49%,India,Beauty and Self Care Celebrity,8.9M
32,Riyaz Aly @riyaz.14,28.1M,0.93%,India,Entertainment and Music Music,8.4M
33,Sonakshi Sinha @aslisona,28M,0.53%,India,Beauty and Self Care Fashion and Accessories Modeling,8.4M
34,Hardik Himanshu Pandya @hardikpandya93,27.5M,2.41%,India,Sports Modeling Athlete,8.2M
35,ğ‘ğ¨ğ¡ğ¢ğ­ ğ™ğ¢ğ§ğ£ğ®ğ«ğ¤ğ ğŸ‡®ğŸ‡³ @rohittt_09_,26.8M,4.24%,India,Fashion and Accessories Entertainment and Music Digital Creator,8.1M
36,Suresh Raina @sureshraina3,26.8M,0.93%,India,Sports Cricket Modeling,8M
37,Divyanka Tripathi Dahiya @divyankatripathidahiya,26.3M,0.24%,India,Acting and Drama Travel Celebrity Actors,7.9M
38,Sidharth Malhotra @sidmalhotra,25.8M,3.07%,India,Entertainment and Music Actors Modeling Actor,7.7M
39,Angel Rai :) @angelrai07,25.5M,2.54%,India,Entertainment and Music,7.7M
40,Allu Arjun @alluarjunonline,24.8M,7.8%,India,Acting and Drama Actors Artist,7.4M
41,Pooja Hegde @hegdepooja,24.4M,2.74%,India,Acting and Drama Modeling Public Figure,7.3M
42,Shruti Haasan @shrutzhaasan,23.6M,0.59%,India,Entertainment and Music Food Actors Singer,7.1M
43,Tamannaah Bhatia @tamannaahspeaks,22.1M,2.22%,India,Entertainment and Music Celebrity Singer Actors,6.6M
44,Janhvi Kapoor @janhvikapoor,21.9M,3.06%,India,Celebrity Celebrities,6.6M
45,Instant Bollywood @instantbollywood,21.8M,0.52%,India,Entertainment and Music News,6.5M
46,Vijay Deverakonda @thedeverakonda,21.2M,4.23%,India,Entertainment and Music Celebrity Actors Actor,6.4M
47,Sonu Sood @sonu_sood,21M,1.76%,India,Actors,6.3M
48,Ram Charan @alwaysramcharan,20.8M,4.26%,India,Acting and Drama,6.2M
49,Taapsee Pannu @taapsee,20.5M,0.47%,India,Acting and Drama Modeling Actors Artist,6.2M
50,Hina Khan @realhinakhan,19M,0.76%,India,Entertainment and Music Beauty and Self Care Fashion and Accessories Celebrity,5.7M
51,Malaika Arora @malaikaaroraofficial,18.7M,0.61%,India,Fitness and Health Food Fashion and Accessories Travel,5.6M
52,ğ‘¨ğ’‹ğ’†ğ’š ğ‘µğ’‚ğ’ˆğ’‚ğ’“ @carryminati,18.7M,10.34%,India,Entertainment and Music Video Blogger Actors Modeling,5.6M
53,F I L M Y G Y A N @filmygyan,18.7M,0.11%,India,Entertainment and Music Marketing and Advertising Celebrity News,5.6M
54,Neha Sharma ğŸ’« @nehasharmaofficial,18.5M,2.04%,India,Fashion and Accessories Food Arts and Crafts Acting and Drama,5.6M
55,Yuvraj Singh @yuvisofficial,18.2M,1.69%,India,Sports Business and Finance Cricket,5.4M
56,Shehnaaz Gill @shehnaazgill,17.7M,3.64%,India,Entertainment and Music Celebrity Music Lifestyle,5.3M
57,Darshan Raval @darshanravaldz,17.7M,1.76%,India,Entertainment and Music Romance and Wedding Music Singer,5.3M
58,Shikhar Dhawan @shikhardofficial,17.6M,3.92%,India,Sports Modeling Lifestyle,5.3M
59,Shakti Mohan @mohanshakti,17.5M,1.55%,India,Art Dance Actors,5.2M
60,Bhuvan Bam @bhuvan.bam22,17.4M,5.94%,India,Entertainment and Music Music Actors Geek,5.2M
61,Yami Gautam Dhar @yamigautam,17M,0.39%,India,Acting and Drama Celebrity Modeling Actor,5.1M
62,Vicky Kaushal @vickykaushal09,16.7M,2.57%,India,Acting and Drama Celebrity Actors Modeling,5M
63,Ashish Chanchlani @ashishchanchlani,16.5M,9.46%,India,Entertainment and Music Funny Actors Humor,4.9M
64,Ileana D'Cruz @ileana_official,16.4M,2.76%,India,Modeling Actors Fashion,4.9M
65,Kajol Devgan @kajol,16.1M,1.82%,India,Acting and Drama Modeling Actors,4.8M
66,Karan Johar @karanjohar,15.8M,0.35%,India,Entertainment and Music Actors Singer Music,4.7M
67,Riteish Deshmukh @riteishd,15.6M,1.32%,India,Entertainment and Music Actors Producers,4.7M
68,Ayushmann Khurrana @ayushmannk,15.6M,1%,India,Entertainment and Music Acting and Drama Actors Artist,4.7M
69,DILJIT DOSANJH @diljitdosanjh,15.2M,2.62%,India,Entertainment and Music News Actors,4.6M
70,Arjun Kapoor @arjunkapoor,15.1M,0.29%,India,Acting and Drama Celebrity,4.5M
71,Garima Chaurasia ğŸ’™ @gima_ashi,15.1M,1.4%,India,Fashion and Accessories Modeling Lifestyle,4.5M
72,Zareen Khan ğŸ¦„ğŸŒˆâœ¨ğŸ‘¼ğŸ» @zareenkhan,14.7M,0.96%,India,Entertainment and Music Fashion and Accessories Beauty and Self Care Actors,4.4M
73,Keerthy Suresh @keerthysureshofficial,14.4M,2.47%,India,Acting and Drama Celebrity,4.3M
74,Stebin Ben @stebinben,14.3M,4.48%,India,Entertainment and Music Modeling Singer Celebrities,4.3M
75,Mika Singh @mikasingh,14.2M,0.36%,India,Entertainment and Music Celebrity Music Singer,4.3M
76,ARMAAN MALIK ğŸ§¿ @armaanmalik,14.2M,1.04%,India,Entertainment and Music Music Singer,4.3M
77,Dulquer Salmaan @dqsalmaan,14.2M,6.19%,India,Entertainment and Music Auto and Vehicles Celebrity,4.3M
78,Esha Gupta @egupta,14.1M,3.23%,India,Entertainment and Music Celebrity Actors Soccer,4.2M
79,Bipasha Basu @bipashabasu,13.9M,0.47%,India,Fitness and Health Modeling,4.2M
80,Sidhu Moosewala (à¨®à©‚à¨¸à©‡ à¨†à¨²à¨¾) @sidhu_moosewala,13.9M,23.22%,India,Entertainment and Music Music Singer,4.2M
81,Genelia Deshmukh @geneliad,13.4M,7.13%,India,Acting and Drama Food family Actors,4M
82,Hasnain khan @hasnaink07,13.3M,0.1%,India,Finance Modeling,4M
83,Remo Dsouza @remodsouza,13.2M,1.2%,India,Entertainment and Music Dance,4M
84,Harbhajan Turbanator Singh @harbhajan3,13.2M,0.71%,India,Fitness Cricket Modeling,4M
85,Sushant Singh Rajput @sushantsinghrajput,13.1M,19.81%,India,Entertainment and Music Actors Modeling,3.9M
86,Surya Kumar Yadav (SKY) @surya_14kumar,12.9M,6.57%,India,Beauty,3.9M
87,NitaShilimkar @nita_shilimkar,12.7M,4.7%,India,Beauty and Self Care,3.8M
88,Mumbai Indians @mumbaiindians,12.5M,0.24%,India,Sports Personal Finance Cricket,3.8M
89,KL RahulğŸ‘‘ @klrahul,12.3M,4%,India,Sports Cricket Athlete,3.7M
90,Abhishek Bachchan @bachchan,12.2M,0.35%,India,Entertainment and Music Actors Producers,3.6M
91,John Abraham @thejohnabraham,11.9M,0.64%,India,Entertainment and Music Acting and Drama Auto and Vehicles Actors,3.6M
92,Mahesh Babu @urstrulymahesh,11.8M,5.1%,India,Acting and Drama Celebrity Modeling Actors,3.5M
93,RVCJ Media @rvcjinsta,11.6M,0.2%,India,Entertainment and Music Product Showcase,3.5M
94,Adnaan Shaikh @adnaan_07dz,11.5M,0.53%,India,"Fitness and Health Modeling Film, Music & Books Celebrities",3.5M
95,Riva Arora @rivarora_,11.5M,0.77%,India,Celebrity,3.4M
96,Raghav Juyal @raghavjuyal,11.4M,3.34%,India,Entertainment and Music Home and Garden Music Modeling,3.4M
97,Siddharth Nigam @thesiddharthnigam,11.3M,0.87%,India,Entertainment and Music Sports Celebrity,3.4M
98,MC STÎ”N ğŸ’” @m___c___stan,11.1M,13.19%,India,Entertainment and Music Fashion and Accessories,3.3M
99,Sahil Khan @sahilkhan,11M,1.15%,India,Fitness and Health Product Education Gym Coaching,3.3M
100,Ajay Devgn @ajaydevgn,10.8M,2.12%,India,Acting and Drama,3.3M
